time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-14 09:30:00-05:00,Trend,b8f8d1d705ad462987316f70271aff8a,GLD,sell,market,fill,1,day,0.0,1,stock,181.6999969482422,331.0,0.0
2023-11-14 09:30:00-05:00,Trend,d7c3936c775643439430d83f4bd3022e,GLD,sell,market,fill,1,gtc,0.0,1,stock,181.6999969482422,109.0,0.0
2023-11-27 09:30:00-05:00,Trend,098764b10415444087739f5c918389c7,GLD,buy,market,new,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,Trend,96b916e4108f429a81f74438c9374e49,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,Trend,098764b10415444087739f5c918389c7,GLD,buy,market,fill,1,day,0.0,1,stock,186.55999755859375,109.0,0.0
2023-11-27 09:30:00-05:00,Trend,96b916e4108f429a81f74438c9374e49,GLD,buy,market,fill,1,gtc,0.0,1,stock,186.55999755859375,321.0,0.0
2023-12-18 09:30:00-05:00,Trend,dd19ac8427a2477fa20d9608fd62ff44,GLD,sell,market,new,1,day,0.0,1,stock,,,
2023-12-18 09:30:00-05:00,Trend,b7acbdcb1ea946db87109a3564d3cc33,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-18 09:30:00-05:00,Trend,dd19ac8427a2477fa20d9608fd62ff44,GLD,sell,market,fill,1,day,0.0,1,stock,187.5,321.0,0.0
2023-12-18 09:30:00-05:00,Trend,b7acbdcb1ea946db87109a3564d3cc33,GLD,sell,market,fill,1,gtc,0.0,1,stock,187.5,105.0,0.0
2023-12-26 09:30:00-05:00,Trend,9999dc9bae38451e8fc3ad1417bcde17,GLD,buy,market,new,1,day,0.0,1,stock,,,
2023-12-26 09:30:00-05:00,Trend,d1b2567bdf2549a49cf2c0f284d0d3dc,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-26 09:30:00-05:00,Trend,9999dc9bae38451e8fc3ad1417bcde17,GLD,buy,market,fill,1,day,0.0,1,stock,190.97000122070312,105.0,0.0
2023-12-26 09:30:00-05:00,Trend,d1b2567bdf2549a49cf2c0f284d0d3dc,GLD,buy,market,fill,1,gtc,0.0,1,stock,190.97000122070312,312.0,0.0
2024-01-16 09:30:00-05:00,Trend,3e9c88099c97435ea7313aceeb7b2533,GLD,sell,market,new,1,day,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,Trend,9eb68966b17a4d1db6b694d9defcc489,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,Trend,3e9c88099c97435ea7313aceeb7b2533,GLD,sell,market,fill,1,day,0.0,1,stock,189.14999389648438,312.0,0.0
2024-01-16 09:30:00-05:00,Trend,9eb68966b17a4d1db6b694d9defcc489,GLD,sell,market,fill,1,gtc,0.0,1,stock,189.14999389648438,105.0,0.0
2024-02-05 09:30:00-05:00,Trend,bad189b762034ccaa3344d5428344dc3,GLD,buy,market,new,1,day,0.0,1,stock,,,
2024-02-05 09:30:00-05:00,Trend,4df480e0211c466d937762d28dd8242d,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-05 09:30:00-05:00,Trend,bad189b762034ccaa3344d5428344dc3,GLD,buy,market,fill,1,day,0.0,1,stock,186.8800048828125,105.0,0.0
2024-02-05 09:30:00-05:00,Trend,4df480e0211c466d937762d28dd8242d,GLD,buy,market,fill,1,gtc,0.0,1,stock,186.8800048828125,317.0,0.0
2024-02-15 09:30:00-05:00,Trend,5c4989fdcab94ddb9cfd1607b52c2862,GLD,sell,market,new,1,day,0.0,1,stock,,,
2024-02-15 09:30:00-05:00,Trend,a2b861ec06054c629c858007e1dc96ff,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2024-02-15 09:30:00-05:00,Trend,5c4989fdcab94ddb9cfd1607b52c2862,GLD,sell,market,fill,1,day,0.0,1,stock,185.60000610351562,317.0,0.0
