datetime,portfolio_value,cash,positions,return
2023-02-13 09:30:00-05:00,100638.40156555176,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-14 09:30:00-05:00,100846.45034790039,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0020672902104186264
2023-02-15 09:30:00-05:00,101236.89895629883,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.003871713947803501
2023-02-16 09:30:00-05:00,101311.00173950195,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0007319740526141594
2023-02-17 09:30:00-05:00,101444.95208740234,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0013221698097982681
2023-02-18 09:30:00-05:00,101444.95208740234,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-18 09:29:00-05:00,101444.95208740234,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-21 08:30:00-05:00,101065.90156555176,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.003736514376033284
2023-02-21 09:30:00-05:00,101065.90156555176,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-21 09:30:00-05:00,101065.90156555176,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-22 09:30:00-05:00,101177.05139160156,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0010997757337345426
2023-02-23 09:30:00-05:00,101453.50173950195,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0027323424047061007
2023-02-24 09:30:00-05:00,101858.20121765137,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.003989014387975942
2023-02-25 09:30:00-05:00,101858.20121765137,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-25 09:29:00-05:00,101858.20121765137,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-27 08:30:00-05:00,101727.09930419922,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.0012871021860283438
2023-02-27 09:30:00-05:00,101727.09930419922,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-27 09:30:00-05:00,101727.09930419922,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-02-28 09:30:00-05:00,101755.60104370117,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.00028017843521443986
2023-03-01 09:30:00-05:00,101137.15156555176,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.006077792984425567
2023-03-02 09:30:00-05:00,101259.69947814941,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0012117002575282587
2023-03-03 09:30:00-05:00,100994.65156555176,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.002617506411371928
2023-03-04 09:30:00-05:00,100994.65156555176,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-03-04 09:29:00-05:00,100994.65156555176,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-03-06 08:30:00-05:00,100746.69860839844,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.0024551097836342795
2023-03-06 09:30:00-05:00,100746.69860839844,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-03-06 09:30:00-05:00,100746.69860839844,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-03-07 09:30:00-05:00,101288.20121765137,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.005374891849883268
2023-03-08 09:30:00-05:00,101804.05052185059,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0050928864171528865
2023-03-09 09:30:00-05:00,101479.15069580078,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.0031914233705275796
2023-03-10 09:30:00-05:00,100857.85278320312,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.006122419318034034
2023-03-11 09:30:00-05:00,100857.85278320312,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-03-11 09:29:00-05:00,100857.85278320312,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-03-13 08:30:00-04:00,99509.79965209961,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.013365871807733187
2023-03-13 09:30:00-04:00,99509.79965209961,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-03-13 09:30:00-04:00,99509.79965209961,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",0.0
2023-03-14 09:30:00-04:00,99313.14895629883,149857.90069580078,"[{'asset': USD, 'quantity': 149857.90069580078}, {'asset': GLD, 'quantity': -285.0}]",-0.001976194269190601
2023-03-15 09:30:00-04:00,99950.3666381836,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.006416246877492204
2023-03-16 09:30:00-04:00,100224.6640625,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.002744336349553844
2023-03-17 09:30:00-04:00,100861.88818359375,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0063579571660761225
2023-03-18 09:30:00-04:00,100861.88818359375,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-03-18 09:29:00-04:00,100861.88818359375,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-03-20 08:30:00-04:00,102199.62741088867,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.013263079359171925
2023-03-20 09:30:00-04:00,102199.62741088867,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-03-20 09:30:00-04:00,102199.62741088867,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-03-21 09:30:00-04:00,101549.74380493164,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.006358962575706895
2023-03-22 09:30:00-04:00,100600.24380493164,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.009350097444104866
2023-03-23 09:30:00-04:00,102081.46792602539,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.014723862140591848
2023-03-24 09:30:00-04:00,102798.8666381836,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.007027707641097836
2023-03-25 09:30:00-04:00,102798.8666381836,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-03-25 09:29:00-04:00,102798.8666381836,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-03-27 08:30:00-04:00,100916.74380493164,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.0183087897250499
2023-03-27 09:30:00-04:00,100916.74380493164,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-03-27 09:30:00-04:00,100916.74380493164,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-03-28 09:30:00-04:00,101406.2653503418,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.004850746535742134
2023-03-29 09:30:00-04:00,101482.22869873047,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0007490991619327758
2023-03-30 09:30:00-04:00,101591.94638061523,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0010811516783937325
2023-03-31 09:30:00-04:00,102165.8666381836,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.005649269238509946
2023-04-01 09:30:00-04:00,102165.8666381836,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-01 09:29:00-04:00,102165.8666381836,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-03 08:30:00-04:00,102056.14895629883,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.00107391720439598
2023-04-03 09:30:00-04:00,102056.14895629883,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-03 09:30:00-04:00,102056.14895629883,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-04 09:30:00-04:00,102423.28689575195,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.003597411260445771
2023-04-05 09:30:00-04:00,103950.92483520508,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.014914947428000147
2023-04-06 09:30:00-04:00,103339.02612304688,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.005886419126412301
2023-04-07 09:30:00-04:00,103339.02612304688,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-07 09:29:00-04:00,103339.02612304688,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-10 08:30:00-04:00,102617.40328979492,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.006983062065948897
2023-04-10 09:30:00-04:00,102617.40328979492,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-10 09:30:00-04:00,102617.40328979492,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-11 09:30:00-04:00,102925.46792602539,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.003002070081236541
2023-04-12 09:30:00-04:00,103613.32354736328,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.006683045850539804
2023-04-13 09:30:00-04:00,104550.1640625,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.009041699301426842
2023-04-14 09:30:00-04:00,103841.20715332031,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.006781021488936889
2023-04-15 09:30:00-04:00,103841.20715332031,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-15 09:29:00-04:00,103841.20715332031,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-17 08:30:00-04:00,102917.02612304688,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.008899944979538721
2023-04-17 09:30:00-04:00,102917.02612304688,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-17 09:30:00-04:00,102917.02612304688,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-18 09:30:00-04:00,102642.72869873047,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.0026652288221820086
2023-04-19 09:30:00-04:00,102267.14895629883,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.0036590974070264126
2023-04-20 09:30:00-04:00,103022.52612304688,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.00738631295051384
2023-04-21 09:30:00-04:00,102533.00457763672,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.004751597187837242
2023-04-22 09:30:00-04:00,102533.00457763672,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-22 09:29:00-04:00,102533.00457763672,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-24 08:30:00-04:00,102148.98947143555,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.003745282875334044
2023-04-24 09:30:00-04:00,102148.98947143555,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-24 09:30:00-04:00,102148.98947143555,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0
2023-04-25 09:30:00-04:00,102473.92483520508,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.0031809944028902137
2023-04-26 09:30:00-04:00,103229.30844116211,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",0.007371471397936702
2023-04-27 09:30:00-04:00,102077.24380493164,24471.446380615234,"[{'asset': USD, 'quantity': 24471.446380615234}, {'asset': GLD, 'quantity': 422.0}]",-0.011160247546239344
2023-04-28 09:30:00-04:00,102018.50384521484,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",-0.000575446177103367
2023-04-29 09:30:00-04:00,102018.50384521484,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0
2023-04-29 09:29:00-04:00,102018.50384521484,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0
2023-05-01 08:30:00-04:00,101935.3432006836,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",-0.0008151525595535558
2023-05-01 09:30:00-04:00,101935.3432006836,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0
2023-05-01 09:30:00-04:00,101935.3432006836,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0
2023-05-02 09:30:00-04:00,102027.74380493164,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.000906462874864955
2023-05-03 09:30:00-04:00,101832.3833618164,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",-0.0019147776460561872
2023-05-04 09:30:00-04:00,101749.8833618164,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",-0.0008101548571918249
2023-05-05 09:30:00-04:00,101901.68356323242,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0014918955816021207
2023-05-06 09:30:00-04:00,101901.68356323242,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0
2023-05-06 09:29:00-04:00,101901.68356323242,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0
2023-05-08 08:30:00-04:00,101818.52291870117,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",-0.0008160870519832164
2023-05-08 09:30:00-04:00,101818.52291870117,114214.64340209961,"[{'asset': USD, 'quantity': 114214.64340209961}, {'asset': GLD, 'quantity': -66.0}]",0.0
